#SpeciesA	SpeciesB	interaction	type
An_5	An_15	-0.851161112543195	2
An_6	An_15	-0.968817592831329	2
An_11	An_15	-0.886643334291875	2
Pl_1	An_15	1	1
Pl_2	An_15	1	1
Pl_11	An_15	1	1
Pl_1	An_16	1	1
Pl_10	An_16	1	1
An_13	An_17	-0.997208194341511	2
An_16	An_17	-0.869572843192145	2
Pl_1	An_17	1	1
Pl_6	An_17	1	1
An_5	An_18	-0.936955381650478	2
An_12	An_18	-0.949034394463524	2
An_13	An_18	-0.873032697243616	2
Pl_1	An_18	1	1
Pl_2	An_18	1	1
An_2	An_19	-0.929793945746496	2
An_3	An_19	-0.941757227992639	2
An_6	An_19	-0.898583860136569	2
An_7	An_19	-0.931017400464043	2
An_10	An_19	-0.977588643319905	2
An_12	An_19	-0.902951386291534	2
Pl_1	An_19	1	1
Pl_2	An_19	1	1
An_2	An_20	-0.888704461511225	2
An_3	An_20	-0.98060221481137	2
An_7	An_20	-0.943852421594784	2
An_11	An_20	-0.910814339760691	2
An_19	An_20	-0.942981514381245	2
Pl_1	An_20	1	1
Pl_7	An_20	1	1
An_13	An_21	-0.942235396709293	2
An_14	An_21	-0.897747608600184	2
An_16	An_21	-0.933371119666845	2
Pl_1	An_21	1	1
An_3	An_22	-0.952189801959321	2
An_13	An_22	-0.92098540160805	2
An_18	An_22	-0.891478225821629	2
An_20	An_22	-0.914932654472068	2
Pl_1	An_22	1	1
An_6	An_23	-0.965918092755601	2
An_7	An_23	-0.91547780809924	2
An_11	An_23	-0.899942331947386	2
An_22	An_23	-0.988521452294663	2
Pl_3	An_23	1	1
An_4	An_24	-0.936832782812417	2
Pl_1	An_24	1	1
An_3	An_25	-0.937281096819788	2
An_8	An_25	-0.922894069459289	2
An_9	An_25	-0.864322865614668	2
An_18	An_25	-0.958322206977755	2
Pl_3	An_25	1	1
An_5	An_26	-0.998235564678907	2
An_9	An_26	-0.933073694352061	2
An_12	An_26	-0.953770688967779	2
An_24	An_26	-0.93943682895042	2
Pl_3	An_26	1	1
An_13	An_27	-0.899038684554398	2
An_26	An_27	-0.926019895356148	2
Pl_4	An_27	1	1
An_1	An_28	-0.958469320787117	2
An_11	An_28	-0.871032640105113	2
An_14	An_28	-0.935825291788206	2
An_15	An_28	-0.90175627428107	2
An_16	An_28	-0.945304048946127	2
An_21	An_28	-0.983587838709354	2
An_22	An_28	-0.957202909048647	2
An_25	An_28	-0.878766598179936	2
Pl_7	An_28	1	1
An_9	An_29	-0.884392928564921	2
An_16	An_29	-0.942702794680372	2
An_17	An_29	-0.882738263346255	2
An_18	An_29	-0.911016301484779	2
An_21	An_29	-0.948695500614122	2
An_28	An_29	-0.90616306476295	2
Pl_26	An_29	1	1
An_7	An_30	-0.895132415927947	2
An_12	An_30	-0.898224955657497	2
An_13	An_30	-0.918145267292857	2
An_24	An_30	-0.936617942294106	2
Pl_1	An_30	1	1
An_5	An_31	-0.863416051724926	2
An_6	An_31	-0.919126894092187	2
An_14	An_31	-0.919699810212478	2
An_21	An_31	-0.993388802511618	2
Pl_4	An_31	1	1
An_6	An_32	-0.869524566689506	2
An_9	An_32	-0.861248968169093	2
An_10	An_32	-0.950962051749229	2
An_15	An_32	-0.954440511064604	2
An_18	An_32	-0.939827974652871	2
An_24	An_32	-0.903450852259994	2
An_30	An_32	-0.904907318530604	2
Pl_1	An_32	1	1
An_2	An_33	-0.867755181854591	2
An_5	An_33	-0.984543554717675	2
An_8	An_33	-0.970895254053175	2
An_19	An_33	-0.876552920788527	2
An_28	An_33	-0.893979232758284	2
Pl_5	An_33	1	1
An_10	An_34	-0.952898096991703	2
An_15	An_34	-0.99925725418143	2
An_18	An_34	-0.920738750370219	2
An_25	An_34	-0.931182588916272	2
An_27	An_34	-0.871975866379216	2
Pl_1	An_34	1	1
An_2	An_35	-0.875234511913732	2
An_11	An_35	-0.887699387269095	2
An_14	An_35	-0.918307853396982	2
An_16	An_35	-0.871861183317378	2
An_23	An_35	-0.914546232670546	2
An_25	An_35	-0.905255799880251	2
An_29	An_35	-0.99824267718941	2
Pl_2	An_35	1	1
An_14	An_36	-0.997469346737489	2
An_25	An_36	-0.889028336619958	2
An_27	An_36	-0.932607109891251	2
An_30	An_36	-0.898184383288026	2
Pl_1	An_36	1	1
An_12	An_37	-0.990006853127852	2
An_13	An_37	-0.981029422255233	2
An_17	An_37	-0.857941831462085	2
An_31	An_37	-0.9265211308375	2
An_35	An_37	-0.965328516205773	2
An_36	An_37	-0.985602953936905	2
Pl_3	An_37	1	1
An_3	An_38	-0.947925971820951	2
An_12	An_38	-0.885452510789037	2
An_14	An_38	-0.914583088597283	2
An_24	An_38	-0.974926247727126	2
Pl_1	An_38	1	1
An_17	An_39	-0.900086218491197	2
An_19	An_39	-0.997815872775391	2
An_21	An_39	-0.851772627793252	2
An_29	An_39	-0.90710241952911	2
An_36	An_39	-0.979799816384912	2
Pl_1	An_39	1	1
An_4	An_40	-0.885511222993955	2
An_8	An_40	-0.993783171987161	2
An_15	An_40	-0.988526847911999	2
An_16	An_40	-0.940505823353305	2
An_17	An_40	-0.936142890015617	2
An_28	An_40	-0.89305682410486	2
An_29	An_40	-0.900067029055208	2
An_32	An_40	-0.912291675107554	2
An_33	An_40	-0.912916790926829	2
An_38	An_40	-0.869679529219866	2
Pl_1	An_40	1	1
An_5	An_41	-0.892272748751566	2
An_10	An_41	-0.986669349018484	2
An_17	An_41	-0.947265290189534	2
An_20	An_41	-0.934539958136156	2
An_24	An_41	-0.927458567079157	2
An_25	An_41	-0.872104728594422	2
An_35	An_41	-0.929426548071206	2
Pl_2	An_41	1	1
An_1	An_42	-0.997067982098088	2
An_23	An_42	-0.945064092520624	2
An_34	An_42	-0.915275288047269	2
Pl_2	An_42	1	1
An_2	An_43	-0.872767671011388	2
An_10	An_43	-0.956622760975733	2
An_35	An_43	-0.947761084418744	2
Pl_2	An_43	1	1
An_3	An_44	-0.860099839279428	2
An_4	An_44	-0.966840670211241	2
An_8	An_44	-0.956725043710321	2
An_10	An_44	-0.877590598072857	2
An_13	An_44	-0.96993795898743	2
An_23	An_44	-0.858399455901235	2
An_27	An_44	-0.940538139082491	2
An_34	An_44	-0.98526137531735	2
An_39	An_44	-0.8688700273633	2
An_40	An_44	-0.883517062757164	2
Pl_1	An_44	1	1
An_3	An_45	-0.972169700777158	2
An_13	An_45	-0.98830146738328	2
An_16	An_45	-0.947511179139838	2
An_24	An_45	-0.985853660851717	2
An_26	An_45	-0.893029703991488	2
An_32	An_45	-0.875418520299718	2
An_35	An_45	-0.914196833269671	2
An_36	An_45	-0.937933452660218	2
An_41	An_45	-0.965507289627567	2
Pl_2	An_45	1	1
An_9	An_46	-0.9581903826911	2
An_31	An_46	-0.915483681717888	2
An_36	An_46	-0.98325723502785	2
An_40	An_46	-0.93717444781214	2
Pl_1	An_46	1	1
Pl_3	Pl_5	-0.885996684199199	2
Pl_2	Pl_7	-0.976828790968284	2
Pl_6	Pl_7	-0.9071321899537	2
Pl_1	Pl_8	-0.907608663430437	2
Pl_5	Pl_8	-0.871745035517961	2
Pl_8	Pl_10	-0.859884328907356	2
Pl_3	Pl_11	-0.861416633008048	2
Pl_5	Pl_11	-0.879459950840101	2
Pl_8	Pl_12	-0.902859430760145	2
Pl_2	Pl_13	-0.909333283314481	2
Pl_7	Pl_13	-0.970477592898533	2
Pl_8	Pl_13	-0.919296776875854	2
Pl_9	Pl_14	-0.974201687145978	2
Pl_12	Pl_14	-0.979728913865983	2
Pl_3	Pl_15	-0.883462042314932	2
Pl_13	Pl_15	-0.943155638873577	2
Pl_2	Pl_16	-0.858458230039105	2
Pl_15	Pl_16	-0.919445222942159	2
Pl_4	Pl_18	-0.863264438929036	2
Pl_8	Pl_18	-0.933105399832129	2
Pl_9	Pl_18	-0.891690441407263	2
Pl_12	Pl_19	-0.912783463019878	2
Pl_13	Pl_19	-0.905394760193303	2
Pl_15	Pl_19	-0.932909075170755	2
Pl_1	Pl_20	-0.920560999540612	2
Pl_3	Pl_21	-0.942481404636055	2
Pl_4	Pl_21	-0.909645109204575	2
Pl_13	Pl_22	-0.891818735050038	2
Pl_15	Pl_22	-0.927446469431743	2
Pl_16	Pl_22	-0.898024755995721	2
Pl_10	Pl_23	-0.995013314764947	2
Pl_19	Pl_23	-0.917905020294711	2
Pl_5	Pl_24	-0.918853155337274	2
Pl_17	Pl_24	-0.942728139227256	2
Pl_10	Pl_25	-0.956558840116486	2
Pl_12	Pl_25	-0.903023785213009	2
Pl_14	Pl_25	-0.958656620234251	2
Pl_11	Pl_26	-0.869263566331938	2
Pl_15	Pl_26	-0.88357375212945	2
Pl_18	Pl_26	-0.920167858013883	2
Pl_1	Pl_27	-0.928292959230021	2
Pl_5	Pl_27	-0.969304768601432	2
Pl_6	Pl_27	-0.869737981585786	2
Pl_11	Pl_27	-0.901293090544641	2
Pl_21	Pl_27	-0.99648369057104	2
Pl_5	Pl_28	-0.992951706517488	2
Pl_11	Pl_28	-0.863846543012187	2
Pl_13	Pl_28	-0.927502772305161	2
Pl_15	Pl_28	-0.974322472233325	2
Pl_17	Pl_28	-0.910559233743697	2
Pl_19	Pl_28	-0.968339512357488	2
Pl_20	Pl_28	-0.979749764781445	2
Pl_12	Pl_29	-0.903337883530185	2
Pl_20	Pl_29	-0.892153363674879	2
Pl_5	Pl_30	-0.897086744196713	2
Pl_6	Pl_30	-0.964915465097874	2
Pl_10	Pl_30	-0.921374130994081	2
Pl_12	Pl_30	-0.965709667420015	2
Pl_17	Pl_30	-0.876079862704501	2
Pl_2	Pl_31	-0.947510725352913	2
Pl_5	Pl_31	-0.873180041322485	2
Pl_13	Pl_31	-0.946854167850688	2
Pl_28	Pl_31	-0.895703454269096	2
Pl_10	Pl_32	-0.873288142494857	2
Pl_13	Pl_32	-0.946085484232754	2
Pl_28	Pl_32	-0.990813807118684	2
Pl_1	Pl_33	-0.899647099897265	2
Pl_2	Pl_33	-0.95208902657032	2
Pl_4	Pl_33	-0.91371903126128	2
Pl_5	Pl_33	-0.873936986550689	2
Pl_6	Pl_33	-0.946761656319723	2
Pl_12	Pl_33	-0.89477611053735	2
Pl_14	Pl_33	-0.873973756330088	2
Pl_18	Pl_33	-0.952564420644194	2
Pl_30	Pl_33	-0.865703744580969	2
Pl_1	Pl_34	-0.891104740090668	2
Pl_3	Pl_34	-0.980463009094819	2
Pl_4	Pl_34	-0.857898066751659	2
Pl_19	Pl_34	-0.941024347441271	2
Pl_30	Pl_34	-0.943660378921777	2
Pl_31	Pl_34	-0.881843682844192	2
Pl_4	Pl_35	-0.965187441091985	2
Pl_8	Pl_35	-0.921354530844837	2
Pl_13	Pl_35	-0.866185164544731	2
Pl_15	Pl_35	-0.851012481143698	2
Pl_16	Pl_35	-0.975018161116168	2
Pl_31	Pl_35	-0.850217982428148	2
Pl_1	Pl_36	-0.871881363680586	2
Pl_17	Pl_36	-0.86449839384295	2
Pl_20	Pl_36	-0.858936495846137	2
Pl_21	Pl_36	-0.858859889907762	2
Pl_32	Pl_36	-0.877685558050871	2
Pl_33	Pl_36	-0.918648520251736	2
Pl_4	Pl_37	-0.883529248880222	2
Pl_13	Pl_37	-0.929681154666469	2
Pl_28	Pl_37	-0.989806570578367	2
Pl_7	Pl_38	-0.938293637242168	2
Pl_23	Pl_38	-0.853880083188415	2
Pl_25	Pl_38	-0.946372268954292	2
Pl_37	Pl_38	-0.883317186031491	2
Pl_2	Pl_39	-0.979239588370547	2
Pl_7	Pl_39	-0.905440164031461	2
Pl_18	Pl_39	-0.966364083345979	2
Pl_19	Pl_39	-0.961455926066265	2
Pl_21	Pl_39	-0.965308297425508	2
Pl_24	Pl_39	-0.853213354246691	2
Pl_29	Pl_39	-0.897989326389506	2
Pl_34	Pl_39	-0.850309813162312	2
Pl_36	Pl_39	-0.976982371183112	2
Pl_2	Pl_40	-0.866536484798416	2
Pl_19	Pl_40	-0.872401322238147	2
Pl_23	Pl_40	-0.990782546810806	2
Pl_28	Pl_40	-0.869137937901542	2
Pl_1	Pl_41	-0.868817925453186	2
Pl_2	Pl_41	-0.957218571100384	2
Pl_13	Pl_41	-0.929155160905793	2
Pl_35	Pl_41	-0.902522400254384	2
Pl_38	Pl_41	-0.912002502940595	2
Pl_39	Pl_41	-0.94947105855681	2
Pl_2	Pl_42	-0.951124479528517	2
Pl_24	Pl_42	-0.965093004982919	2
Pl_27	Pl_42	-0.900488757994026	2
Pl_9	Pl_43	-0.856989811407402	2
Pl_20	Pl_43	-0.862161694327369	2
Pl_26	Pl_43	-0.871832471108064	2
Pl_36	Pl_43	-0.947245270013809	2
Pl_40	Pl_43	-0.967456846032292	2
Pl_1	Pl_44	-0.923289833357558	2
Pl_4	Pl_44	-0.902807455742732	2
Pl_11	Pl_44	-0.932732478249818	2
Pl_12	Pl_44	-0.986534679308534	2
Pl_23	Pl_44	-0.894276294624433	2
Pl_32	Pl_44	-0.940968806156889	2
Pl_35	Pl_44	-0.983421003213152	2
Pl_40	Pl_44	-0.865943880053237	2
Pl_41	Pl_44	-0.888670564861968	2
Pl_2	Pl_45	-0.908103910973296	2
Pl_27	Pl_45	-0.912720195716247	2
Pl_34	Pl_45	-0.966422968311235	2
Pl_39	Pl_45	-0.94121177890338	2
Pl_4	Pl_46	-0.91218702797778	2
Pl_8	Pl_46	-0.997118432307616	2
Pl_25	Pl_46	-0.991748523898423	2
Pl_27	Pl_46	-0.93203162169084	2
Pl_31	Pl_46	-0.95675098663196	2
Pl_5	Pl_47	-0.861426995368674	2
Pl_16	Pl_47	-0.875969000160694	2
Pl_20	Pl_47	-0.983466863632202	2
Pl_26	Pl_47	-0.977806360693648	2
Pl_31	Pl_47	-0.85885931015946	2
Pl_32	Pl_47	-0.875424136407673	2
Pl_45	Pl_47	-0.857752774842083	2
