# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Input file 2: "Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 47
# >> Running at date:  (mm,dd,yy) 8, 20, 2022, and time: 1:36:42,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
21	0.267622277540104	0.158397989855547	0.0162271805273834	0.142170809328164	1	11	1	11	2	22	0	0	11	11	0	17	0	0	11	11	0	22	An_14	An_11	8	485	493
22	0.266997281033346	0.162353365109097	0.0162271805273834	0.146126184581713	1	9	1	4	2	13	0	0	9	4	0	10	0	0	9	4	0	13	Pl_36	Pl_29	8	485	493
23	0.265810758744442	0.166308740362646	0.0162271805273834	0.150081559835263	1	6	1	7	2	13	0	0	6	7	0	10	0	0	6	7	0	13	An_38	An_30	8	485	493
24	0.261117302540852	0.174592370762715	0.0162271805273834	0.158365190235332	2	32	1	38	3	70	0	0	25	38	0	47	0	0	32	38	0	70	Pl_4	Pl_1	8	485	493
25	0.25620963159536	0.179808250217946	0.0162271805273834	0.163581069690563	1	7	1	11	2	18	0	0	7	11	0	14	0	0	7	11	0	18	An_22	An_44	8	485	493
26	0.254943193541559	0.187480884489046	0.0162271805273834	0.171253703961662	1	19	1	10	2	29	0	0	19	10	0	23	0	0	19	10	0	29	Pl_3	Pl_9	8	485	493
27	0.253996458062008	0.188002472434569	0.0162271805273834	0.171775291907185	2	10	1	6	3	16	0	0	7	6	0	10	0	0	10	6	0	16	Pl_45	Pl_21	8	485	493
28	0.247771084883192	0.189071528242799	0.0148749154834348	0.174196612759364	2	31	1	13	3	44	2	0	23	13	2	28	1	0	30	13	1	43	An_6	An_8	8	485	493
29	0.247300875251588	0.186620547850642	0.0212981744421907	0.165322373408451	2	17	2	18	4	31	0	2	12	12	4	16	0	1	17	17	5	26	An_21	An_29	12	481	493
30	0.244606554555652	0.191128097997137	0.0233265720081136	0.167801525989024	1	7	1	6	2	12	0	0	7	6	2	9	0	0	7	6	1	11	Pl_40	Pl_23	13	480	493
31	0.24045153923425	0.196901229530918	0.0253549695740365	0.171546259956882	1	8	1	10	2	17	0	0	8	10	2	13	0	0	8	10	1	16	An_24	An_45	14	479	493
32	0.239757644661626	0.200773624884044	0.0253549695740365	0.175418655310007	1	8	1	6	2	14	0	0	8	6	0	11	0	0	8	6	0	14	Pl_30	Pl_25	14	479	493
33	0.230674500426578	0.197385007201153	0.025895875591616	0.171489131609537	2	41	3	44	5	83	2	2	31	28	5	40	1	1	40	43	4	79	An_7	An_6	16	477	493
34	0.22794933829332	0.203790473198804	0.0258958755916159	0.177894597607188	1	12	1	12	2	24	0	0	12	12	0	19	0	0	12	12	0	24	An_35	An_28	16	477	493
35	0.227037772964004	0.200477039674924	0.0258958755916159	0.174581164083309	2	15	2	12	4	27	0	0	11	9	0	16	0	0	15	12	0	27	Pl_20	Pl_37	16	477	493
36	0.226779783505185	0.203046851628744	0.0299526707234618	0.173094180905282	1	9	2	26	3	33	0	2	9	19	3	21	0	1	9	25	3	30	Pl_31	Pl_13	18	475	493
37	0.226494655444703	0.20691924698187	0.0299526707234618	0.176966576258408	1	6	1	8	2	14	0	0	6	8	0	11	0	0	6	8	0	14	Pl_43	Pl_18	18	475	493
38	0.220167997666084	0.211990240896677	0.0299526707234618	0.182037570173215	1	13	1	7	2	20	0	0	13	7	0	16	0	0	13	7	0	20	An_40	An_39	18	475	493
39	0.219563718562303	0.212412823722911	0.0299526707234618	0.182460152999449	2	20	1	14	3	34	0	0	15	14	0	24	0	0	20	14	0	34	An_18	An_10	18	475	493
40	0.219293525208611	0.217483817637718	0.0299526707234618	0.187531146914256	1	10	1	10	2	20	0	0	10	10	0	16	0	0	10	10	0	20	Pl_44	Pl_19	18	475	493
41	0.217171900751314	0.219763350140374	0.0313049357674104	0.188458414372964	1	12	3	16	4	26	0	0	12	10	3	14	0	0	12	16	2	24	Pl_39	Pl_45	20	473	493
42	0.216313288988499	0.219983093210016	0.0392156862745098	0.180767406935506	2	20	4	31	6	45	0	4	16	16	6	24	0	5	20	26	11	34	An_40	An_21	26	467	493
43	0.216045495680283	0.222722899777321	0.0392156862745098	0.183507213502811	2	29	1	15	3	44	0	0	23	15	0	30	0	0	29	15	0	44	Pl_3	Pl_8	26	467	493
44	0.210283368059618	0.223536428212851	0.0392156862745098	0.184320741938342	2	22	1	10	3	32	0	0	17	10	0	22	0	0	22	10	0	32	An_14	An_25	26	467	493
45	0.209308928766559	0.223219359856273	0.0385395537525355	0.184679806103738	3	33	1	8	4	40	3	0	21	8	4	23	3	0	30	8	4	36	Pl_31	Pl_47	27	466	493
46	0.207057359523292	0.221364093193704	0.0388776200135226	0.182486473180182	2	13	2	14	4	26	0	0	10	11	2	15	0	0	13	14	1	25	Pl_36	Pl_43	28	465	493
47	0.20356097028712	0.225108827161562	0.0388776200135226	0.18623120714804	1	7	1	9	2	16	0	0	7	9	0	13	0	0	7	9	0	16	An_31	An_36	28	465	493
